timestamp,total_tokens,prompt_tokens,completion_tokens,total_cost_usd,us_date_format
01.08.2023 18:19:16,2251,1766,485,0.003619,08/01/2023
02.08.2023 18:19:16,2251,1766,485,0.003619,08/02/2023
03.08.2023 18:19:16,2251,1766,485,0.003619,08/03/2023
07.08.2023 18:14:16,0,0,0,0.0,08/07/2023
07.08.2023 18:14:22,0,0,0,0.0,08/07/2023
08.08.2023 10:14:17,17,8,9,3e-05,08/08/2023
08.08.2023 10:19:10,17,8,9,3e-05,08/08/2023
08.08.2023 10:19:18,50,12,38,9.400000000000001e-05,08/08/2023
08.08.2023 10:19:45,34,11,23,6.25e-05,08/08/2023
08.08.2023 10:20:10,22,12,10,3.8e-05,08/08/2023
08.08.2023 10:20:19,43,13,30,7.950000000000001e-05,08/08/2023
08.08.2023 10:27:18,43,33,10,6.950000000000001e-05,08/08/2023
08.08.2023 10:27:25,57,52,5,8.8e-05,08/08/2023
08.08.2023 12:13:13,48,38,10,7.7e-05,08/08/2023
08.08.2023 12:13:18,62,57,5,9.55e-05,08/08/2023
